#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-07-29T05:38:46 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to: question@simbad.u-strasbg.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.97 (28-Nov-2012) 
#INFO -ref=VIZ51f5e9e84e90 
#INFO -out.max=9999 
#INFO queryParameters=16 
#-oc.form=sexa
#-out.max=9999
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/484/609&tab:{J/A+A/484/609/catalog}&key:source=J/A+A/484/609&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/484/609/catalog
#-order=I
#-out=Bmag
#-out=Vmag
#-out=Icmag
#-out=Pmb
#

#RESOURCE=yCat_34840609
#Name: J/A+A/484/609
#Title: BVI photometry and proper motions in M67 (Yadav+, 2008)
#Table J_A_A_484_609_catalog:
#Name: J/A+A/484/609/catalog
#Title: M67 catalog
#---Details of Columns:
    _RAJ2000 ("h:m:s") (A12)   Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data) [ucd=pos.eq.ra]
08 51 18.080 +11 40 26.43        21.369 19.323  36
08 52 12.465 +11 40 27.02 22.092 21.679 20.756  32
08 50 16.314 +11 40 25.07        21.296 18.809  57
08 51 39.945 +11 40 27.47 21.585 19.732 17.543  34
08 51 46.167 +11 40 27.99 21.243 20.710 19.922   2
08 52 03.283 +11 40 29.45 20.179 18.783 17.172   0
08 51 22.812 +11 40 30.17 21.191 19.482 17.344  36
08 51 40.961 +11 40 30.72 22.029 22.237         43
08 51 33.918 +11 40 31.36        20.794 19.023   4
08 51 03.645 +11 40 31.01 13.908 13.333 12.686 100
08 52 11.400 +11 40 32.08 14.833 14.144 13.424  99
08 52 17.153 +11 40 32.52        21.161 19.736   3
08 51 37.281 +11 40 32.06 20.925 19.600 18.240   2
08 51 26.478 +11 40 32.10 22.348 21.133 18.414   0
08 51 29.568 +11 40 34.22 20.120 19.500 18.862  12
08 51 47.821 +11 40 34.89 21.770 20.092 18.160   0
08 50 26.016 +11 40 33.26 20.391 18.998 17.503   0
08 50 38.848 +11 40 34.54        21.027 19.153  12
08 50 34.655 +11 40 34.48 22.075 20.566 19.380   0
08 50 28.653 +11 40 34.69 16.070 15.435 14.806   0
08 51 18.678 +11 40 36.76 14.600 13.998 13.331  97
08 50 52.806 +11 40 36.66        21.555 20.208  35
08 51 22.150 +11 40 38.70 20.697 18.945 16.981  63
08 50 26.722 +11 40 38.93 22.363 20.981 18.225   8
08 52 15.669 +11 40 41.64 22.313 22.233         13
08 51 00.680 +11 40 41.35 16.103 15.289 14.426  98
08 50 53.415 +11 40 43.50 14.284 13.637 12.931   0
08 50 35.527 +11 40 42.75 21.924 20.991 20.279  50
08 51 56.777 +11 40 44.58 19.547 18.556 17.205   0
08 51 56.777 +11 40 45.45 21.082 19.554 17.811   0
08 51 59.314 +11 40 46.33 20.929 19.397 17.798   0
08 51 43.521 +11 40 46.84 22.433 21.652 20.771   0
08 51 26.447 +11 40 47.27 17.341 16.591 15.719   0
08 50 20.593 +11 40 46.30 21.529 20.058 18.803   1
08 52 01.770 +11 40 50.10        21.339 19.997  46
08 51 55.035 +11 40 50.34 14.731 13.986 13.199   0
08 51 24.567 +11 40 50.97 19.055 18.095 17.060   9
08 51 05.193 +11 40 52.25 20.860 18.937 16.348   0
08 51 53.094 +11 40 53.67 13.930 13.301 12.608  19
08 52 02.135 +11 40 54.36 20.360 19.123 17.719  12
08 51 12.971 +11 40 54.09 22.310 21.062 19.796  38
08 50 40.305 +11 40 53.44 19.183 17.697 16.136  82
08 50 58.246 +11 40 54.69        21.250 18.748   0
08 51 25.704 +11 40 56.84 21.821 20.002 17.726  23
08 50 11.186 +11 40 54.87        20.622          4
08 50 21.893 +11 40 55.60 16.701 15.754 14.781  85
08 50 21.617 +11 40 55.44 14.194 13.566 12.925  97
08 51 22.583 +11 40 58.08 18.732 17.405 15.952  86
08 51 43.000 +11 40 59.63 15.975 15.088 14.177   1
08 52 01.886 +11 41 04.54 22.135 20.682 18.298  10
08 51 18.404 +11 41 04.20 18.051 16.704 15.240  93
08 51 45.202 +11 41 04.67 21.635 22.223         46
08 51 22.966 +11 41 06.49 16.945 16.106 15.206   0
08 51 18.664 +11 41 06.42 21.492 19.814 17.841   6
08 52 00.921 +11 41 08.18 19.995 18.373 16.460  63
08 52 17.042 +11 41 09.07 18.610 16.589 13.912   0
08 51 14.338 +11 41 09.21 15.142 14.443 13.731  99
08 51 35.662 +11 41 10.28 18.426 17.841 17.153   0
08 51 06.939 +11 41 10.56 17.691 16.417 14.969   0
08 51 25.545 +11 41 11.02 21.624 22.225         22
08 52 23.838 +11 41 11.67 21.082 21.553 20.576   2
08 51 18.755 +11 41 11.83 16.684 16.030 15.300   0
08 52 09.737 +11 41 12.81 23.925 21.358 20.416   0
08 52 07.469 +11 41 14.60 21.357 21.196 20.503   2
08 50 09.584 +11 41 13.15        20.812          0
08 52 05.946 +11 41 15.85 22.405 21.585 20.607   4
08 51 30.118 +11 41 15.98        20.721 17.366  14
08 50 56.677 +11 41 15.91 18.792 17.705 16.522   0
08 51 25.040 +11 41 17.78 20.699 19.672 18.579   1
08 50 39.741 +11 41 17.51 19.803 17.940 15.623   0
08 50 30.511 +11 41 17.97 22.424 21.389 19.166   0
08 50 56.533 +11 41 20.82 19.588 18.226 16.706  78
08 52 14.606 +11 41 23.78 22.646 20.978 19.582  12
08 52 03.560 +11 41 23.90 13.288 12.648 11.965  99
08 50 55.049 +11 41 23.14 22.174 20.718 18.190   7
08 51 10.784 +11 41 24.36 21.325 19.518 17.400  50
08 51 55.399 +11 41 25.62 20.520 18.830 16.626   0
08 50 37.638 +11 41 24.90 20.076 18.201 15.775   0
08 50 52.882 +11 41 25.54 26.271 21.037 18.605  54
08 51 12.132 +11 41 26.72        21.669 20.676  26
08 50 09.933 +11 41 25.41        21.014          4
08 52 22.703 +11 41 27.72 20.792 19.068 16.759   0
08 51 28.355 +11 41 28.33 22.116 22.104         22
08 51 19.894 +11 41 28.25        20.742 18.443   3
08 51 57.372 +11 41 29.69 20.824 19.229 17.140  13
08 51 18.279 +11 41 29.64 16.808 15.861 14.889  96
08 51 38.415 +11 41 30.18 17.580 16.446 15.192  72
08 50 54.150 +11 41 30.14 15.955 15.273 14.517   4
08 51 55.261 +11 41 33.58 19.531 17.775 15.781  25
08 51 06.469 +11 41 33.89 20.030 18.375 16.411  73
08 50 40.124 +11 41 33.27 20.223 19.330 18.234   7
08 50 15.074 +11 41 33.69        18.686 16.308  12
08 51 21.644 +11 41 36.57 22.468 20.482 18.441  15
08 51 45.715 +11 41 37.12        21.634 19.417  21
08 51 04.158 +11 41 36.73 21.755 20.484 18.609   8
08 50 32.593 +11 41 36.20 21.763 21.113 20.290   1
08 50 53.075 +11 41 37.37 21.359 19.621 18.490  35
08 50 55.332 +11 41 39.83 19.098 17.711 16.179  76
08 51 23.883 +11 41 41.16 21.073 20.380 19.620   7
08 51 48.937 +11 41 43.48 21.848 21.543 20.925   7
08 51 30.406 +11 41 43.54 20.234 18.468 16.426  57
08 50 25.339 +11 41 42.74        21.362 18.970  25
08 51 09.506 +11 41 45.01 13.500 12.750 11.956  98
08 52 02.140 +11 41 46.04 22.595 20.733 18.271   3
08 51 07.350 +11 41 46.10 21.797 20.408 18.052  10
08 50 29.997 +11 41 44.82 22.274 21.202 19.895  37
08 52 14.619 +11 41 49.04 21.513 20.753 19.722  17
08 51 59.015 +11 41 49.18 15.444 14.688 13.893  99
08 51 06.965 +11 41 49.03 16.483 15.548 14.532  97
08 51 18.751 +11 41 49.78 22.354 21.398 19.960  29
08 51 04.494 +11 41 49.20 21.060 19.182 16.804  56
08 50 54.741 +11 41 49.14 22.563 21.552 20.765  52
08 51 44.654 +11 41 51.05 13.827 13.188 12.516  99
08 51 11.072 +11 41 54.30 21.652 20.168 17.456   1
08 50 26.189 +11 41 53.68 21.312 21.317 20.565  38
08 51 28.392 +11 41 55.72 18.207 16.918 15.498   0
08 52 22.835 +11 41 56.91 18.915 18.034 17.045  39
08 51 27.270 +11 41 58.82 17.241 16.603 15.890   0
08 51 01.311 +11 41 58.83 14.004 13.451 12.805 100
08 51 33.529 +11 41 59.60 21.029 20.275 19.590  27
08 50 21.826 +11 41 58.86 21.062 19.783 18.173   1
08 51 39.054 +11 42 01.00        21.569 19.279  37
08 51 33.922 +11 42 00.85 22.002 21.466 19.631   7
08 52 14.123 +11 42 01.57        21.163 19.472   0
08 51 22.167 +11 42 01.69        22.224         13
08 51 14.096 +11 42 02.09 21.930 20.523 19.214   0
08 52 13.705 +11 42 02.92 21.462 19.764 17.975   1
08 50 53.262 +11 42 02.34 21.739 21.035 20.165  38
08 50 30.934 +11 42 02.24 21.860 20.691 18.417   0
08 51 15.551 +11 42 03.75        21.393 18.809   1
08 52 14.404 +11 42 05.36 19.621 18.133 16.417  78
08 51 32.578 +11 42 05.24 15.378 14.545 13.676  91
08 50 21.688 +11 42 03.51 22.385 20.986 18.321  39
08 52 04.278 +11 42 06.63 21.697 20.159 18.178   0
08 50 51.647 +11 42 06.65 22.227 22.401         30
08 51 45.527 +11 42 10.16 17.807 17.114 16.374  15
08 51 39.583 +11 42 10.87 16.220 15.653 15.021  62
08 50 59.269 +11 42 10.19 21.345 20.491 19.372   0
08 50 28.333 +11 42 09.83 13.372 12.819 12.209 100
08 51 03.809 +11 42 11.33 22.654 20.800 18.451  42
08 51 29.191 +11 42 11.92 16.317 15.704 15.026   0
08 50 40.488 +11 42 11.59 14.614 13.978 13.323  99
08 50 58.434 +11 42 12.22 14.349 13.739 13.014   0
08 51 35.448 +11 42 14.14 22.434 20.995 18.838  42
08 51 57.130 +11 42 15.35 22.487 20.711 18.317  51
08 52 06.289 +11 42 18.18 21.889 21.711 21.356  32
08 51 34.883 +11 42 17.83 19.693 19.872 20.061  42
08 50 30.368 +11 42 17.07 17.417 16.468 15.516   0
08 50 29.602 +11 42 17.86 18.127 17.423 16.676  10
08 51 43.922 +11 42 20.47 21.449 21.358 20.056  36
08 50 25.216 +11 42 19.18 18.982 17.500 15.787   0
08 51 33.269 +11 42 21.74 21.470 19.891 17.637  24
08 51 40.412 +11 42 22.34 22.130 21.166 20.002   0
08 52 13.979 +11 42 22.68        21.422 20.493   0
08 51 48.467 +11 42 22.88 14.686 14.021 13.309  99
08 51 26.837 +11 42 23.53 19.779 18.160 16.401  79
08 51 03.992 +11 42 23.94 15.079 14.517 13.850  46
08 52 05.810 +11 42 24.69 14.309 13.653 12.932 100
08 52 22.945 +11 42 25.27 22.377 20.647 18.157  31
08 50 15.456 +11 42 25.07 15.680 14.741 13.754  22
08 50 40.338 +11 42 26.08 21.662 19.742 17.611  25
08 51 39.657 +11 42 28.26 17.690 16.590 15.393  92
08 51 47.101 +11 42 29.80 16.139 15.289 14.409  95
08 52 16.655 +11 42 29.98 14.032 13.412 12.746 100
08 50 21.387 +11 42 28.29 21.829 21.373 20.389  33
08 50 19.587 +11 42 30.05 16.032 15.030 13.997   0
08 50 30.565 +11 42 30.64 18.012 16.951 15.845   3
08 50 21.046 +11 42 31.98 20.814 19.063 17.112   8
08 51 28.044 +11 42 34.87 20.327 18.576 16.573  72
08 50 22.653 +11 42 35.55 18.559 17.529 16.385  67
08 51 38.740 +11 42 37.39 14.753 14.107 13.405  99
08 50 17.005 +11 42 35.65 17.927 17.081 16.163  78
08 52 03.433 +11 42 38.04 17.456 16.364 15.218  93
08 52 20.100 +11 42 38.79 19.141 18.577 17.898   1
08 51 26.461 +11 42 39.19 17.683 16.582 15.391  93
08 52 03.294 +11 42 40.56 16.085 15.228 14.347  97
08 51 54.283 +11 42 40.94 22.204 20.357 18.002  35
08 51 18.082 +11 42 40.44 22.121 21.439 19.801  50
08 52 14.361 +11 42 42.13        21.017 19.149  10
08 51 08.407 +11 42 41.78 20.818 21.667 20.961   5
08 51 22.745 +11 42 42.53 21.906 21.156 18.500   0
08 51 46.642 +11 42 44.76 18.049 16.769 15.377  91
08 50 28.975 +11 42 43.13 22.315 21.399 20.527  17
08 51 02.473 +11 42 44.18 21.675 20.957 18.568  15
08 50 21.661 +11 42 44.55 17.167 16.003 14.760  48
08 51 55.288 +11 42 46.60 21.178 19.434 17.319  38
08 51 53.653 +11 42 46.93 21.875 20.948 18.744   4
08 51 35.091 +11 42 46.81 18.325 17.058 15.641  88
08 51 29.267 +11 42 47.30 18.474 17.758 16.997  37
08 50 23.654 +11 42 45.87 22.197 21.057 20.479  24
08 51 42.282 +11 42 47.58 21.299 22.216 20.780   0
08 50 32.437 +11 42 46.49 20.119 19.534 18.743  10
08 50 38.528 +11 42 46.90 18.684 17.798 16.891   0
08 50 33.467 +11 42 46.56 21.369 21.372 20.389  33
08 52 24.850 +11 42 52.94 18.802 17.887 16.869   1
08 51 39.805 +11 42 54.72 15.056 14.331 13.575   0
08 51 18.100 +11 42 54.73 13.907 13.254 12.594  99
08 50 12.148 +11 42 53.05        16.408          0
08 52 04.483 +11 42 55.78 18.934 17.520 16.009  80
08 51 28.329 +11 42 55.40 21.244 21.362 20.642  43
08 50 26.829 +11 42 56.81 15.009 14.438 13.803   0
08 50 15.915 +11 42 56.92 21.786 20.244 17.813  43
08 51 56.580 +11 43 00.00 22.128 19.900 17.495   0
08 52 01.107 +11 43 00.18 20.767 20.090 19.310   0
08 52 02.955 +11 43 01.05 19.719 18.306 16.833   5
08 50 59.355 +11 43 01.45 22.668 21.076 18.536  33
08 52 15.763 +11 43 04.24 18.876 18.042 17.157   3
08 51 24.676 +11 43 06.21 15.485 14.685 13.837  99
08 51 58.704 +11 43 07.70 21.472 19.430 17.311  30
08 51 49.817 +11 43 08.80 20.098 18.462 16.628   4
08 52 13.837 +11 43 09.00 17.217 16.561 15.797   1
08 51 28.910 +11 43 08.80 16.362 15.443 14.513  97
08 52 04.030 +11 43 09.18 18.604 17.428 16.174   0
08 51 42.929 +11 43 10.06 22.428 21.283 19.864  14
08 50 57.606 +11 43 10.06        21.024 18.448  15
08 51 43.486 +11 43 11.25 22.099 21.039 20.155  54
08 52 22.860 +11 43 11.54 22.323 20.206 17.730  31
08 51 40.655 +11 43 11.65 20.856 19.468 17.884   0
08 50 23.285 +11 43 11.66 22.023 20.846 19.275  51
08 50 52.948 +11 43 13.91 17.755 16.883 15.957  13
08 51 21.838 +11 43 17.72 15.191 14.489 13.751  99
08 51 48.221 +11 43 18.57 19.450 18.058 16.547   0
08 51 21.501 +11 43 18.38 21.865 21.145 20.256  19
08 50 36.136 +11 43 18.11 13.602 12.642 11.709  99
08 51 32.037 +11 43 20.94 20.325 19.009 17.667  23
08 50 31.282 +11 43 20.99 20.867 18.960 16.985  59
08 50 28.794 +11 43 21.70 22.312 20.739 18.302  33
08 52 18.691 +11 43 24.61 13.244 12.602 11.923 100
08 51 26.182 +11 43 24.65 18.974 18.090 17.129  19
08 52 17.174 +11 43 25.38        21.000 19.593  14
08 51 18.335 +11 43 25.16 14.036 13.402 12.739 100
08 51 27.562 +11 43 25.97 23.210 20.471 17.663   3
08 51 53.987 +11 43 27.32 17.253 16.215 15.106   0
08 51 33.721 +11 43 27.66 21.040 21.183 20.556  45
08 50 37.717 +11 43 27.16 22.464 21.236 19.207   0
08 52 24.987 +11 43 28.63 21.869 19.819 17.561   4
08 51 59.255 +11 43 29.30 19.319 17.685 15.910  64
08 51 50.134 +11 43 30.11 21.898 21.826 20.111  14
08 51 13.855 +11 43 29.78        21.035 19.772   0
08 51 48.563 +11 43 31.27 18.443 17.182 15.764  89
08 50 47.600 +11 43 30.31 22.197 22.342         42
08 51 26.397 +11 43 31.92 22.149 22.172         47
08 50 26.818 +11 43 30.96 17.835 17.220 16.529   0
08 50 15.064 +11 43 31.13        19.594 18.503   0
08 52 20.385 +11 43 34.26 19.529 18.029 16.349  16
08 50 57.674 +11 43 33.70        21.052 19.260   2
08 51 39.292 +11 43 35.52 17.529 16.449 15.300  94
08 51 20.879 +11 43 35.27 23.077 20.443 18.354  36
08 51 22.556 +11 43 35.76 19.383 18.745 18.022   0
08 51 41.945 +11 43 37.19 13.277 12.695 12.011 100
08 50 20.619 +11 43 35.27 20.581 20.161 19.476  13
08 52 02.918 +11 43 37.53 20.257 18.538 16.704  57
08 51 57.976 +11 43 38.60 19.484 17.821 15.957  15
08 51 55.662 +11 43 39.20 17.103 16.056 14.904   0
08 50 13.744 +11 43 37.33        19.702 17.870  28
08 51 48.978 +11 43 39.88 16.105 15.284 14.404  98
08 50 53.344 +11 43 40.05 15.062 14.356 13.569  99
08 52 11.226 +11 43 43.85 18.251 16.936 15.433  92
08 52 11.150 +11 43 44.65 18.400 17.133 15.746  81
08 50 22.069 +11 43 43.25 21.780 20.269 18.512  23
08 51 33.241 +11 43 44.96 24.863 21.008 18.862   9
08 51 21.991 +11 43 45.11 17.791 16.674 15.466  92
08 52 15.185 +11 43 46.51 20.978 19.117 16.718   0
08 50 33.149 +11 43 44.89 18.115 17.043 15.863   0
08 51 05.756 +11 43 46.94 14.715 14.018 13.254  99
08 50 52.890 +11 43 46.93 18.583 17.485 16.189   0
08 52 08.366 +11 43 48.51 20.465 19.816 18.979   0
08 51 58.837 +11 43 48.94 20.244 18.524 16.362   0
08 51 34.501 +11 43 49.48 15.334 14.580 13.823  98
08 51 58.950 +11 43 49.84 17.726 16.754 15.734   0
08 52 04.638 +11 43 50.09 21.478 20.610 19.785   8
08 50 36.291 +11 43 48.69 22.127 22.146         44
08 51 30.132 +11 43 49.88 13.783 13.120 12.436  99
08 51 10.327 +11 43 49.64 20.830 19.211 17.424   0
08 52 17.008 +11 43 50.40 21.178 19.516 17.540   1
08 50 38.004 +11 43 49.18 20.492 18.980 17.331  14
08 51 26.432 +11 43 50.71 11.369 11.260 11.111  97
08 51 02.916 +11 43 52.02 21.974 21.067 19.319  41
08 51 05.840 +11 43 52.52 22.085 20.956 19.907   6
08 51 34.199 +11 43 53.39 22.023 20.823 18.927  46
08 51 09.588 +11 43 52.94 21.304 20.738 20.329   1
08 51 07.788 +11 43 53.22 22.415 21.336 20.721   5
08 51 47.519 +11 43 54.41 21.972 20.178 18.170   2
08 50 56.858 +11 43 54.14 20.098 19.533 18.920   0
08 51 05.322 +11 43 56.86 21.344 21.906         55
08 51 31.115 +11 43 58.17 18.941 17.525 16.048  87
08 51 08.620 +11 43 59.42 19.480 18.670 17.701   8
08 52 01.433 +11 44 00.34 21.591 20.976 19.958   3
08 50 33.093 +11 43 58.81 22.240 20.257 17.995   7
08 51 21.398 +11 44 00.86 18.272 17.033 15.711  88
08 50 29.140 +11 44 01.25 21.986 21.212 20.270   1
08 51 30.851 +11 44 02.79 20.101 19.008 17.816   3
08 50 53.015 +11 44 02.51 19.479 17.976 16.332  81
08 51 08.851 +11 44 03.10 22.109 21.287 19.556  56
08 50 30.278 +11 44 02.04 20.514 19.399 18.311   0
08 52 22.572 +11 44 04.58 21.136 19.240 17.041   9
08 51 21.768 +11 44 05.04 14.886 14.172 13.421  99
08 52 10.746 +11 44 05.82 10.664 10.617 10.431  97
08 51 01.830 +11 44 05.33 21.087 19.403 17.391   0
08 51 59.062 +11 44 07.85 17.519 16.723 15.841   0
08 51 52.890 +11 44 07.75 16.539 15.643 14.713   0
08 50 59.653 +11 44 08.06 15.403 14.610 13.743  98
08 51 45.969 +11 44 09.33 13.946 13.373 12.707 100
08 51 22.286 +11 44 09.00 17.437 16.369 15.264  92
08 51 23.720 +11 44 10.75 21.595 20.288 17.911  13
08 51 58.820 +11 44 12.41 20.010 18.599 17.060   0
08 50 54.503 +11 44 11.93        21.430 18.939  48
08 52 16.352 +11 44 13.29 17.680 16.550 15.297  94
08 50 54.765 +11 44 14.20 18.527 17.274 15.834  85
08 51 32.689 +11 44 15.58 22.283 21.068 19.606  55
08 51 12.249 +11 44 15.52 20.843 19.922 18.932  34
08 51 34.163 +11 44 17.19 20.587 19.471 18.061  12
08 51 26.578 +11 44 21.74 15.967 15.312 14.590   0
08 52 20.316 +11 44 22.44 18.918 18.068 17.121   0
08 51 32.366 +11 44 22.15 19.271 17.798 16.199  82
08 52 03.518 +11 44 22.75 21.352 19.678 17.520   1
08 50 21.438 +11 44 21.56 22.268 20.610 18.668   8
08 51 06.535 +11 44 23.76 20.416 20.034 19.299   0
08 50 29.609 +11 44 22.80 21.414 20.015 18.038   4
08 51 13.488 +11 44 25.68 22.849 20.694 18.200   4
08 52 20.445 +11 44 26.16 21.869 21.615 20.478  41
08 52 18.578 +11 44 26.36 11.427 10.354  9.238  96
08 51 07.809 +11 44 25.78        21.491 19.172  30
08 51 43.550 +11 44 26.49 11.875 10.712  9.595   0
08 50 38.050 +11 44 25.48 17.299 16.258 15.185  90
08 51 20.175 +11 44 27.56 21.580 20.920 20.239  27
08 51 32.370 +11 44 28.61        21.122 18.824  41
08 51 42.380 +11 44 28.93 18.318 17.435 16.432   0
08 51 01.541 +11 44 29.07 20.352 19.040 17.568   1
08 51 17.722 +11 44 29.54 16.304 15.361 14.275  98
08 52 12.528 +11 44 30.51 20.116 19.563 18.892   1
08 50 14.645 +11 44 29.63        15.030 14.186  86
08 50 25.128 +11 44 33.06 20.805 19.324 17.704   0
08 50 53.442 +11 44 34.67 14.215 13.576 12.865 100
08 51 08.235 +11 44 35.29        21.249 19.404  47
08 51 01.322 +11 44 35.98 20.237 19.329 18.287   1
08 50 19.959 +11 44 35.25 16.781 16.006 15.200   1
08 51 42.984 +11 44 37.63 19.852 18.948 17.918  18
08 51 22.180 +11 44 38.97 18.230 17.441 16.595  14
08 51 47.398 +11 44 42.36 15.393 14.695 13.923  47
08 51 48.095 +11 44 45.79 20.552 19.216 17.709  18
08 52 10.619 +11 44 46.31 20.164 18.803 17.307   0
08 51 23.467 +11 44 46.19 19.930 18.243 16.304   9
08 51 37.918 +11 44 47.54        21.060 18.751   3
08 50 38.350 +11 44 48.58        22.346         39
08 51 46.237 +11 44 51.72 18.856 18.054 17.147  33
08 51 40.596 +11 44 51.73 20.160 19.720 19.080   0
08 50 59.153 +11 44 51.69 21.960 20.595 18.568  16
08 51 41.287 +11 44 53.08 15.649 14.900 14.094   0
08 50 30.629 +11 44 51.49 22.505 20.492 18.134  41
08 51 44.628 +11 44 53.79 24.715 21.001 18.852  45
08 51 21.447 +11 44 56.46 22.346 20.835 18.215  19
08 51 50.219 +11 44 57.07 14.119 13.478 12.771 100
08 51 46.646 +11 44 58.10 13.395 12.863 12.232   0
08 50 34.979 +11 44 57.36 21.657 20.066 17.530   2
08 51 50.120 +11 45 00.32 14.395 13.772 13.067  99
08 50 27.034 +11 44 58.85 21.494 20.749 20.082  46
08 51 44.751 +11 45 01.27 13.937 13.348 12.695 100
08 51 39.542 +11 45 01.35 16.127 15.307 14.434  97
08 52 03.985 +11 45 02.02 18.998 17.527 15.909  65
08 52 03.468 +11 45 01.84        22.430         31
08 51 20.804 +11 45 02.46 13.716 13.093 12.411  99
08 51 03.514 +11 45 02.79 11.556 11.305 10.947  96
08 51 10.953 +11 45 03.16 22.065 21.261 19.190  48
08 52 02.979 +11 45 03.95 16.735 15.975 15.148   0
08 50 30.324 +11 45 03.42 22.499 21.137 20.206   0
08 52 15.303 +11 45 05.37 22.261 20.721 18.566  13
08 52 15.909 +11 45 06.42 22.831 21.668 20.432  18
08 51 30.370 +11 45 06.05 20.544 18.946 17.224   0
08 51 48.807 +11 45 06.82 17.006 15.553 13.934   6
08 51 29.765 +11 45 06.61 19.242 17.776 16.197  77
08 50 31.754 +11 45 05.35 21.791 20.364 17.792  15
08 51 48.455 +11 45 07.33 22.309 21.116 18.056  21
08 51 48.769 +11 45 07.59 19.666 17.879 15.699  49
08 50 20.389 +11 45 06.33        21.179 19.059  14
08 51 07.678 +11 45 08.07 21.863 20.189 18.954   0
08 51 10.352 +11 45 08.39 19.344 18.347 17.284   5
08 51 31.752 +11 45 08.81 16.351 15.483 14.572  94
08 52 11.410 +11 45 09.96 22.358 21.108 20.107   6
08 51 44.874 +11 45 09.82        21.600 19.661  26
08 52 10.010 +11 45 11.33 18.060 17.131 16.100  84
08 51 46.903 +11 45 12.35 20.155 18.517 16.476  63
08 51 19.526 +11 45 12.45 17.733 16.544 15.196  87
08 51 18.410 +11 45 12.39 22.838 21.644 19.019  10
08 51 38.203 +11 45 12.91        21.084 18.455  21
08 51 43.752 +11 45 14.83 13.653 13.088 12.442 100
08 51 07.937 +11 45 15.75 21.439 19.888 18.000   0
08 50 56.223 +11 45 15.83 17.345 16.201 14.920  94
08 51 43.230 +11 45 17.42 18.151 17.204 16.144  14
08 51 11.386 +11 45 16.78        20.335 20.307  18
08 50 17.915 +11 45 17.36 22.554 21.138 18.933   9
08 52 18.185 +11 45 19.73        21.370 20.659  45
08 51 02.049 +11 45 19.10 15.696 14.959 14.162  97
08 50 36.984 +11 45 18.50 21.766 19.989 17.936  23
08 51 09.142 +11 45 20.28 21.695 22.003         52
08 50 56.570 +11 45 21.33 20.719 20.204 19.639   3
08 51 11.778 +11 45 22.08  9.872 10.037 10.064  98
08 50 30.761 +11 45 21.59 20.328 19.719 18.905  31
08 50 38.194 +11 45 22.17 18.454 17.161 15.779  88
08 50 08.537 +11 45 21.14        21.208          4
08 52 23.601 +11 45 23.60        21.623 19.203  35
08 52 24.977 +11 45 24.59 21.853 21.126 20.879  41
08 52 22.886 +11 45 24.72 20.193 18.769 17.247  57
08 51 31.933 +11 45 24.62 21.198 19.691 18.197  16
08 51 20.664 +11 45 25.31 16.844 15.817 14.691  97
08 51 27.744 +11 45 25.57 21.791 21.607 20.028   1
08 50 40.106 +11 45 24.80 21.620 20.711 19.383   0
08 51 34.583 +11 45 26.23 22.412 20.768 18.523  45
08 51 13.666 +11 45 25.84 22.583 21.661 20.448   3
08 50 34.696 +11 45 25.63 16.448 15.579 14.681  98
08 50 50.996 +11 45 26.60 22.140 21.222 19.210  29
08 51 20.048 +11 45 27.36 22.347 20.843 19.265   6
08 51 29.355 +11 45 27.64 13.826 12.891 11.937 100
08 50 22.497 +11 45 26.91 19.394 18.233 16.982   0
08 52 12.954 +11 45 28.94 20.094 18.339 16.336  72
08 51 06.053 +11 45 29.29 21.382 21.486 20.009  45
08 51 13.685 +11 45 30.26        21.302 18.894  47
08 50 24.860 +11 45 29.83 20.492 18.631 16.302   1
08 51 27.961 +11 45 32.06 20.999 20.482 19.782   2
08 50 27.455 +11 45 31.77 20.541 19.854 19.167   0
08 51 28.522 +11 45 33.89 16.879 15.786 14.688  72
08 50 41.101 +11 45 33.29 20.686 19.005 16.845  47
08 51 47.119 +11 45 34.93 21.543 20.884 20.280  45
08 52 07.838 +11 45 35.23 17.071 16.370 15.570  35
08 50 20.316 +11 45 34.65 20.850 19.183 17.315   0
08 50 37.850 +11 45 35.53 17.675 16.593 15.431  88
08 51 43.908 +11 45 37.21 17.045 16.219 15.328   0
08 51 38.717 +11 45 37.42        21.321 19.868   1
08 51 34.844 +11 45 37.56 19.492 17.935 16.177  70
08 52 11.351 +11 45 37.95 13.662 12.838 11.980 100
08 52 03.173 +11 45 38.07 20.882 20.185 19.500   4
08 50 58.607 +11 45 38.92 21.956 22.259         44
08 50 21.997 +11 45 38.77 21.897 21.366 19.141  45
08 50 25.235 +11 45 39.19 19.598 19.039 18.390   0
08 51 24.989 +11 45 42.95 14.730 14.113 13.449  98
08 51 59.814 +11 45 43.62        20.586 18.208  31
08 51 26.644 +11 45 43.36 18.344 17.146 15.827  83
08 51 07.159 +11 45 43.38 16.603 15.851 14.976   0
