#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-07-27T22:36:49 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to: question@simbad.u-strasbg.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.97 (28-Nov-2012) 
#INFO -ref=VIZ51f44b552540 
#INFO -out.max=99999 
#INFO queryParameters=11 
#-oc.form=sexa
#-out.max=99999
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJ/632/266&tab:{J/ApJ/632/266/table2}&key:source=J/ApJ/632/266&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/ApJ/632/266/table2
#-order=I
#-out=Vmag
#-out=Imag
#-out=Class
#

#RESOURCE=yCat_16320266
#Name: J/ApJ/632/266
#Title: WFPC2 photometry of the globular cluster M5 (Layden+, 2005)
#Table J_ApJ_632_266_table2:
#Name: J/ApJ/632/266/table2
#Title: WFPC2 photometry
#---Details of Columns:
    Vmag (mag) (F6.3)  HST/WFPC2 F555W V band magnitude [ucd=phot.mag;em.opt.V]
    Imag (mag) (F6.3)  HST/WFPC2 F814W I band magnitude [ucd=phot.mag;em.opt.I]
    Class      (F5.2)  SExtractor class indicator of object (5) [ucd=meta.code.class]
------ ------ -----
26.550 26.199  0.84
22.293 21.032  1.00
24.949 23.141  0.97
23.518 21.949  0.99
22.249 20.949  0.88
23.883 22.217  0.98
27.306 25.093  0.80
24.154 22.434  0.97
27.333 26.505  0.00
22.338 21.067  0.99
20.474 19.676  1.00
20.454 19.639  1.00
23.262 21.609  0.99
22.215 20.973  1.00
26.385 24.369  0.77
27.155 24.724  0.76
21.740 20.643  1.00
24.835 22.969  0.98
24.242 22.486  0.03
25.638 23.795  0.96
22.650 21.301  0.98
25.216 22.801  1.00
19.809 19.154  1.00
26.078 23.953  0.98
24.960 23.209  0.98
23.384 21.818  0.98
26.280 25.034  0.00
19.831 19.103  1.00
21.660 20.578  1.00
19.367 18.703  1.00
23.515 21.935  0.98
22.289 21.024  0.99
24.364 22.643  1.00
20.276 19.475  0.98
19.349 18.699  0.98
21.236 20.251  0.99
18.801 18.091  1.00
24.188 22.623  0.56
25.979 25.363  0.02
27.596 24.944  0.02
22.566 21.180  0.99
23.759 22.118  1.00
20.849 19.950  0.98
22.893 21.468  0.98
23.856 22.324  1.00
25.228 23.369  0.99
18.523 17.888  1.00
18.448 17.841  1.00
21.483 20.439  0.99
18.979 18.309  1.00
26.379 24.282  0.93
25.840 25.537  0.02
22.833 21.438  1.00
23.550 21.926  0.98
18.979 18.343  0.99
19.705 18.979  0.98
20.253 19.473  1.00
20.621 19.757  0.99
22.861 21.439  0.98
21.533 20.485  1.00
22.157 20.870  0.99
24.419 22.740  1.00
25.571 23.621  0.99
25.413 23.474  1.00
26.817 24.579  0.74
23.344 21.851  1.00
20.866 19.980  0.98
24.261 22.574  0.99
23.364 21.822  0.98
22.711 21.308  0.99
22.564 21.146  0.97
23.328 21.792  1.00
26.168 23.883  0.98
25.001 23.157  0.96
27.117 25.544  0.00
19.619 18.928  1.00
21.124 20.160  1.00
19.569 18.867  1.00
21.527 20.468  1.00
20.868 19.909  0.99
25.888 23.914  0.97
19.550 18.878  0.98
25.606 23.696  0.88
21.593 20.525  0.98
25.542 23.570  0.99
26.390 24.361  0.97
25.355 23.925  1.00
23.198 21.659  0.96
25.350 25.585  0.92
24.056 22.187  0.99
25.169 23.309  0.74
25.015 23.130  1.00
23.415 21.850  0.98
24.152 22.697  1.00
27.121 26.536  0.29
26.881 26.027  0.00
22.555 21.230  1.00
25.266 23.306  1.00
21.437 20.425  1.00
20.468 19.629  1.00
19.358 18.702  0.98
26.398 24.391  0.69
21.472 20.437  0.98
21.827 20.581  0.98
23.887 22.205  0.97
24.815 22.990  0.95
18.998 18.352  1.00
24.381 24.588  0.97
22.573 21.198  0.23
23.266 21.548  1.00
21.394 20.395  0.98
24.702 22.968  1.00
21.598 20.463  0.98
22.137 20.954  1.00
19.287 18.612  1.00
26.178 24.130  0.62
20.122 19.375  1.00
27.620 26.369  0.06
24.558 22.684  1.00
27.095 25.617  0.00
25.471 24.000  0.02
21.782 20.635  1.00
23.580 22.013  1.00
24.647 22.817  0.88
22.956 21.502  1.00
26.116 24.164  0.13
25.192 23.282  0.98
26.095 24.113  0.86
27.977 26.551  0.26
20.916 20.007  0.98
27.572 25.356  0.01
24.653 22.908  0.99
23.977 22.304  0.99
19.846 19.069  1.00
23.036 21.533  1.00
20.415 19.587  0.99
19.599 18.896  0.98
25.393 23.486  0.68
25.554 23.843  0.93
24.390 22.655  0.91
25.644 23.710  0.82
24.458 22.701  0.94
22.801 21.295  0.95
26.848 25.797  0.00
23.226 21.707  0.93
25.646 23.718  0.99
20.987 20.073  0.98
25.462 23.569  1.00
22.651 21.300  0.98
21.079 20.125  1.00
25.873 23.868  0.97
25.548 23.689  0.99
19.082 18.405  0.98
25.789 23.695  1.00
20.851 19.981  1.00
21.866 20.719  1.00
18.544 17.943  0.99
23.787 22.150  1.00
23.540 21.965  0.91
22.662 21.335  0.98
19.824 19.134  1.00
24.845 23.067  1.00
26.964 25.806  0.25
24.783 22.992  0.99
24.777 22.943  0.98
26.654 24.416  0.12
26.761 26.435  0.84
18.681 18.055  0.98
19.985 19.290  1.00
24.415 22.653  1.00
25.037 23.174  0.93
22.910 21.470  0.98
24.791 23.079  0.91
24.361 22.644  0.98
27.533 25.672  0.00
21.921 20.757  0.98
24.961 23.075  1.00
21.961 20.785  0.99
22.864 21.438  0.93
27.325 24.982  0.82
21.257 20.272  1.00
23.708 22.119  0.99
24.500 22.583  0.98
24.734 22.832  1.00
20.854 19.933  1.00
22.755 21.389  0.98
22.636 21.236  1.00
20.086 19.312  0.98
26.055 24.076  0.99
26.222 24.266  0.82
24.169 22.467  0.85
21.278 20.276  0.98
25.299 23.410  0.16
21.518 20.473  0.98
23.234 21.715  0.99
24.521 22.769  0.97
19.955 19.191  1.00
24.818 23.032  1.00
24.587 22.870  1.00
21.461 20.353  0.98
24.593 22.811  0.79
23.917 22.281  0.96
20.567 19.719  0.99
19.638 18.938  1.00
23.846 22.353  0.37
24.775 22.978  1.00
23.697 22.055  0.98
22.401 21.105  1.00
24.648 22.899  0.96
21.932 20.774  1.00
20.880 19.957  0.98
25.659 23.688  0.78
22.545 21.186  1.00
22.284 21.038  1.00
25.045 23.137  1.00
20.005 19.279  0.99
21.393 20.362  0.98
19.344 18.695  1.00
24.951 23.129  0.98
23.904 22.268  0.98
18.955 18.329  1.00
20.303 19.517  0.99
27.131 26.480  0.82
24.887 23.048  0.98
21.777 20.655  1.00
27.141 26.776  0.00
24.991 23.140  1.00
23.614 22.012  1.00
24.163 22.471  0.99
25.229 23.321  0.98
24.575 22.782  1.00
24.578 22.935  0.35
24.794 23.034  0.97
21.072 20.117  1.00
22.747 21.298  1.00
23.664 22.038  0.11
22.060 20.876  0.98
23.865 22.145  0.96
23.158 21.679  0.98
26.915 24.617  0.97
21.908 20.785  1.00
25.852 23.856  0.99
23.348 21.813  1.00
25.738 23.789  1.00
24.437 22.727  1.00
18.832 18.201  1.00
25.064 24.160  0.99
18.209 17.556  0.99
22.954 21.535  0.98
26.205 24.063  0.95
25.858 23.862  0.90
19.303 18.635  0.98
22.321 21.029  0.98
24.994 23.177  0.97
21.842 20.719  1.00
19.193 18.467  0.98
25.707 23.782  0.99
20.404 19.590  0.99
23.390 21.832  0.99
20.229 19.378  1.00
24.343 22.702  0.21
25.292 23.415  1.00
23.032 21.608  0.99
23.657 22.076  0.99
25.670 23.737  0.57
23.712 22.103  0.98
21.154 20.200  0.99
20.790 19.912  1.00
26.341 24.277  0.76
24.639 22.844  0.97
25.485 23.615  1.00
19.614 18.918  0.98
25.171 23.298  0.98
24.810 23.087  0.95
25.757 23.843  0.77
26.723 24.448  0.95
24.812 23.020  0.97
26.260 24.186  0.94
24.235 22.540  0.96
20.683 19.829  0.98
23.278 21.784  0.99
26.781 24.796  0.97
26.465 24.449  0.98
25.777 23.661  0.95
20.406 19.595  0.99
21.576 20.510  0.98
24.345 22.638  0.13
23.809 22.230  1.00
26.654 26.817  0.00
22.087 20.852  0.92
23.646 21.876  0.97
25.240 23.273  0.87
19.372 18.699  1.00
18.804 18.172  0.99
25.988 23.907  1.00
27.068 24.977  0.86
22.120 20.905  0.98
24.769 23.002  0.98
24.720 22.888  0.97
23.452 21.889  0.98
23.496 21.932  1.00
25.438 23.538  0.99
27.275 25.248  0.01
23.372 21.841  0.98
23.428 21.885  1.00
20.671 19.804  0.98
25.355 23.509  1.00
24.867 23.038  0.98
24.677 22.894  0.97
24.380 22.629  0.99
22.886 21.499  0.25
21.776 20.712  1.00
21.819 20.678  0.99
21.399 20.365  0.98
24.728 22.965  1.00
20.148 19.382  1.00
25.594 23.680  0.99
21.882 20.737  0.98
19.533 18.844  0.98
26.477 24.451  0.99
24.504 22.718  0.98
25.357 23.322  0.88
24.859 23.039  0.98
26.889 25.013  0.94
21.661 20.589  0.99
19.105 18.430  1.00
26.038 23.987  0.97
24.187 22.484  0.98
24.562 22.795  0.98
26.119 24.319  0.02
19.973 19.226  1.00
24.148 22.517  1.00
25.389 23.450  1.00
26.623 24.516  0.88
20.574 19.712  1.00
25.349 23.429  0.92
26.175 24.160  0.95
23.418 21.854  1.00
21.661 20.578  0.98
22.096 20.891  1.00
22.838 21.424  0.99
25.266 23.428  0.99
26.059 24.114  0.95
20.782 19.879  1.00
22.212 20.968  0.99
25.166 23.240  0.99
25.736 26.487  0.65
19.520 18.847  0.98
21.188 20.203  0.98
27.564 26.837  0.01
20.784 19.886  0.98
24.845 23.095  0.95
19.829 19.097  0.99
21.598 20.534  0.99
24.395 22.603  0.96
21.192 20.242  0.98
23.754 22.128  0.98
20.664 19.822  0.98
25.628 23.764  0.25
25.522 23.593  0.87
21.403 20.388  0.98
19.574 18.909  0.98
23.749 22.089  0.99
23.167 21.663  0.98
24.447 22.683  0.54
24.940 23.097  0.98
20.345 19.501  0.99
20.206 19.415  0.98
23.880 22.246  0.98
26.627 25.835  0.00
20.784 19.917  0.98
19.007 18.345  0.98
21.581 20.524  0.98
24.791 22.983  1.00
23.152 21.630  0.98
23.669 22.071  0.65
21.728 20.605  0.99
23.932 22.420  1.00
24.323 22.480  0.95
26.340 24.240  0.55
24.708 22.807  0.98
24.367 22.576  0.99
26.538 24.618  0.78
26.788 24.683  0.32
26.440 25.659  0.00
26.386 24.237  0.75
22.701 21.330  1.00
22.203 20.958  1.00
22.477 21.142  1.00
25.146 23.291  0.22
23.672 22.059  1.00
23.743 22.133  0.98
21.683 20.599  1.00
20.995 20.052  0.98
23.490 21.937  0.98
19.442 18.743  0.98
25.606 23.617  0.89
24.600 22.797  1.00
26.420 24.507  0.07
23.456 21.888  0.98
23.627 22.011  0.96
22.803 21.276  0.98
22.382 21.057  0.98
23.881 22.309  1.00
24.212 22.519  0.97
21.967 20.787  1.00
24.866 23.061  0.37
24.155 22.427  0.75
24.306 22.639  1.00
25.522 23.561  0.91
20.604 19.769  0.98
27.437 26.230  0.00
25.703 23.824  0.98
24.070 22.393  1.00
23.569 21.983  0.99
24.270 25.258  1.00
21.995 20.850  0.99
22.788 21.395  0.99
22.339 21.039  0.98
26.234 24.119  0.97
20.845 19.941  0.98
24.033 22.354  1.00
26.050 24.065  0.99
24.310 22.658  0.99
26.571 24.510  0.29
25.273 23.340  1.00
24.805 22.885  0.96
27.348 26.353  0.30
25.844 23.916  0.99
22.781 21.406  1.00
23.489 21.755  0.98
20.087 19.335  1.00
25.458 23.570  0.99
25.253 23.293  0.89
21.834 20.687  0.98
25.323 23.325  0.07
24.094 22.407  1.00
28.010 26.963  0.09
22.286 20.974  0.98
25.537 23.635  1.00
20.233 19.447  0.99
24.979 23.122  0.97
24.581 22.841  0.98
25.518 23.282  0.99
26.014 24.014  0.16
26.475 24.259  0.96
21.348 20.356  0.99
24.125 22.417  0.98
22.713 21.338  0.98
23.507 21.923  1.00
23.642 22.062  0.98
26.663 24.465  0.59
21.666 20.557  0.99
23.770 22.146  1.00
26.891 26.136  0.01
26.768 26.266  0.85
24.443 22.745  1.00
24.794 22.963  0.98
22.301 21.055  1.00
23.532 21.937  0.99
25.605 23.688  0.99
24.039 22.395  0.97
18.522 17.883  1.00
24.754 22.946  0.13
23.932 22.250  1.00
24.250 22.423  0.55
22.119 20.919  0.98
26.708 24.570  0.91
26.848 25.586  0.00
23.081 21.444  1.00
22.029 20.849  0.98
25.850 23.552  0.34
27.429 25.166  0.00
25.412 23.594  0.99
25.098 24.241  0.02
25.846 23.943  0.97
23.194 21.709  0.98
26.056 26.161  1.00
24.755 22.996  0.98
24.578 22.851  0.88
19.497 18.710  1.00
24.710 22.954  1.00
21.473 20.327  0.97
24.629 22.810  0.91
20.998 20.062  1.00
27.484 26.430  0.18
21.933 20.758  0.98
22.688 21.322  0.99
24.585 22.778  0.98
24.374 22.604  0.99
27.384 26.534  0.77
25.999 24.909  0.96
27.594 26.695  0.06
23.627 22.052  1.00
25.876 23.911  0.97
21.603 20.527  0.99
25.188 23.332  0.03
25.358 23.425  0.98
20.307 19.312  0.98
23.554 21.965  0.93
21.279 20.279  0.98
21.376 20.362  0.98
21.979 20.819  1.00
26.634 24.511  0.47
23.423 21.867  0.99
20.570 19.705  1.00
20.621 19.770  0.98
23.947 22.291  0.98
26.095 24.204  0.27
25.682 23.793  0.97
22.744 21.338  0.97
22.332 21.061  1.00
26.384 24.154  0.01
24.788 22.993  0.98
23.680 22.093  1.00
21.965 20.754  1.00
21.056 19.929  0.98
25.719 23.770  1.00
24.966 23.125  0.98
27.605 26.640  0.61
21.228 20.249  0.99
21.577 20.215  0.94
24.013 22.349  0.84
25.632 23.729  0.27
25.332 23.526  0.50
27.395 26.833  0.00
25.465 23.583  0.82
26.108 24.269  0.85
25.947 24.005  0.62
27.769 26.475  0.01
23.156 21.675  0.98
20.781 19.895  0.99
24.633 22.815  0.83
19.882 19.173  1.00
23.666 21.938  1.00
19.679 19.000  1.00
24.541 22.756  0.81
26.706 24.225  0.68
24.522 22.780  1.00
24.808 23.009  1.00
22.395 21.116  1.00
20.502 19.655  1.00
25.651 26.754  0.10
24.968 23.153  0.98
27.244 26.544  0.01
24.807 22.966  1.00
18.626 18.005  1.00
20.610 19.738  0.98
27.315 26.683  0.81
27.054 25.167  0.08
25.355 23.453  0.96
25.484 23.624  0.98
23.144 21.652  0.99
24.087 22.336  1.00
24.917 23.111  1.00
20.603 19.759  0.99
21.205 20.231  1.00
25.117 23.251  0.96
20.828 19.935  0.98
24.226 22.493  0.98
21.132 20.189  0.98
23.006 21.497  0.98
23.488 21.946  0.98
23.108 21.628  0.99
24.476 22.732  0.73
25.095 23.409  1.00
23.794 22.141  0.98
19.332 18.652  0.98
22.879 21.456  0.99
24.607 22.887  1.00
24.167 22.458  1.00
21.087 20.136  0.98
24.051 22.343  0.96
20.769 19.880  1.00
24.361 22.325  0.87
21.161 20.205  0.99
19.538 18.820  0.98
23.355 21.815  1.00
24.601 22.955  0.91
24.609 22.862  0.95
19.967 19.214  0.98
20.462 19.584  0.98
24.136 22.465  0.98
25.494 22.828  0.02
22.660 21.305  1.00
26.135 24.095  0.97
24.698 23.003  0.98
19.201 18.554  0.99
22.826 21.392  1.00
22.212 20.959  0.98
25.777 25.442  0.01
27.222 25.854  0.84
22.962 21.458  1.00
23.724 22.082  1.00
26.385 24.318  0.97
23.890 22.215  0.97
26.021 24.079  0.96
25.131 23.443  0.63
24.944 23.182  1.00
26.145 26.539  0.02
27.224 26.050  0.01
23.939 22.210  0.98
23.664 22.104  1.00
19.711 18.995  0.98
20.635 19.786  0.99
24.582 22.756  1.00
26.406 24.328  0.01
20.703 19.842  0.98
23.294 21.794  0.98
23.797 22.230  1.00
19.132 18.479  1.00
24.811 22.955  0.96
23.391 21.813  0.91
20.245 19.456  0.98
26.607 25.493  0.01
23.466 21.900  0.98
27.439 26.355  0.14
18.772 18.056  1.00
21.118 20.167  1.00
22.593 21.171  0.99
18.900 18.223  1.00
24.060 22.375  0.98
23.294 21.711  0.98
25.217 23.257  0.63
24.124 22.202  0.98
20.896 20.007  1.00
22.027 20.827  0.98
24.800 23.016  0.97
26.400 24.121  0.79
19.515 18.797  0.99
22.500 21.167  0.98
23.468 21.902  0.99
23.624 22.059  0.99
22.638 21.279  0.14
21.463 20.420  0.98
24.577 22.777  0.75
24.712 22.867  1.00
24.821 22.953  0.95
25.184 23.392  0.43
22.629 21.264  0.98
23.863 22.241  0.97
22.610 21.280  0.98
22.667 21.315  0.98
24.541 22.780  0.45
23.067 21.625  0.43
21.385 20.379  1.00
20.373 19.531  0.99
22.966 21.508  0.98
23.004 21.571  1.00
24.846 23.118  0.26
24.938 23.085  0.95
21.711 20.608  0.98
19.589 18.882  1.00
22.186 20.965  0.99
20.103 19.340  0.99
25.169 23.264  0.02
22.141 20.919  0.99
18.739 18.109  1.00
23.287 21.761  0.98
18.326 17.670  1.00
22.307 21.033  1.00
20.562 19.716  0.99
24.817 23.050  0.96
26.779 24.590  0.89
26.084 24.249  0.01
24.951 23.122  0.97
22.682 21.325  0.98
24.710 22.917  0.76
21.996 20.843  0.98
24.944 23.042  0.22
24.894 23.140  1.00
25.662 23.681  0.98
22.943 21.398  0.98
21.783 20.663  0.98
21.334 20.283  0.98
22.347 21.082  0.98
22.668 21.172  0.94
25.469 23.628  0.98
22.345 21.001  0.98
25.940 25.188  1.00
24.490 22.741  0.27
25.000 23.197  0.07
24.669 22.843  1.00
24.098 22.346  1.00
23.943 22.279  1.00
24.960 23.143  0.98
20.809 19.810  0.98
22.697 21.314  1.00
25.825 23.917  0.58
23.248 22.958  0.97
22.431 21.127  0.03
26.521 24.348  0.94
19.246 18.545  1.00
25.028 23.332  0.35
25.198 23.319  0.89
24.494 22.766  0.98
25.798 23.868  0.93
22.115 20.769  0.77
20.217 19.420  1.00
25.467 23.524  0.95
24.321 22.473  0.98
22.228 20.975  1.00
25.234 23.311  0.63
18.797 18.165  0.99
19.280 18.588  1.00
26.912 26.167  0.52
23.891 22.247  1.00
22.748 21.335  1.00
24.227 22.521  0.96
25.054 23.182  0.99
22.768 21.390  0.98
25.030 23.147  0.74
27.037 26.461  0.00
24.505 22.744  0.91
24.516 22.725  1.00
22.057 20.878  1.00
27.163 26.692  0.00
19.990 19.215  0.98
18.884 18.263  1.00
20.506 19.643  0.96
24.767 22.992  1.00
16.976 16.095  1.00
24.356 22.558  0.96
22.179 20.792  0.92
19.521 18.791  1.00
27.045 24.782  0.28
23.192 21.682  0.98
24.376 22.563  0.97
24.935 23.120  0.97
25.827 23.912  0.94
24.925 23.085  1.00
26.315 24.174  0.96
26.450 24.325  1.00
24.513 22.661  0.98
25.979 24.017  0.98
26.789 26.096  0.27
26.253 24.036  0.98
21.207 20.223  0.98
23.315 21.699  0.99
22.808 21.382  0.98
22.836 21.441  0.98
21.897 20.763  0.98
24.771 22.971  1.00
27.422 26.845  0.60
27.506 26.148  0.00
23.491 21.925  0.98
20.663 19.790  0.98
25.632 23.601  0.74
19.896 19.155  0.98
25.971 23.935  0.99
21.007 20.061  0.99
25.384 23.514  0.50
25.203 23.368  0.78
26.047 24.012  1.00
25.834 23.757  0.99
24.266 22.586  0.90
23.366 23.489  0.13
26.422 24.446  0.95
24.523 22.787  0.98
20.158 19.403  0.98
22.593 21.247  0.98
25.060 23.112  0.98
23.771 22.157  0.98
22.047 20.844  0.98
20.721 19.846  0.98
23.487 21.767  0.99
23.514 21.929  0.98
25.404 23.530  0.91
21.974 20.818  0.99
24.782 23.069  0.90
21.199 20.220  0.98
19.916 19.212  1.00
23.570 21.987  1.00
24.481 22.735  0.99
21.881 20.745  1.00
27.038 26.374  0.23
22.078 20.884  0.98
24.090 22.306  0.96
19.976 19.276  0.98
25.322 23.469  0.97
21.147 20.189  1.00
23.909 22.141  0.98
20.942 20.023  1.00
25.879 23.934  0.97
20.767 19.880  0.98
25.194 23.337  0.95
25.005 23.180  0.99
21.489 20.467  0.98
20.487 19.660  0.98
25.301 23.394  1.00
24.786 23.005  0.97
27.241 25.873  0.00
23.990 22.318  0.98
25.361 23.481  0.04
19.355 18.683  1.00
25.808 23.912  0.94
22.099 20.899  0.99
19.239 18.597  1.00
26.969 26.468  0.01
25.553 23.628  0.97
23.401 21.826  0.98
20.468 19.611  0.98
22.633 21.265  0.99
22.795 21.390  1.00
24.143 22.438  0.99
26.376 24.214  0.94
23.761 22.086  0.99
24.168 22.448  1.00
22.231 21.048  0.98
23.253 21.731  0.99
23.911 22.167  0.53
24.772 23.022  0.97
25.822 25.593  0.87
27.031 26.718  0.00
23.542 21.948  0.61
26.495 26.461  0.09
22.879 21.441  1.00
20.034 19.272  1.00
20.190 19.379  0.98
19.322 18.626  1.00
25.464 24.724  0.03
26.766 24.316  0.05
24.974 23.212  0.96
20.966 20.066  0.98
25.078 23.182  1.00
24.069 22.382  1.00
23.562 21.986  0.98
23.727 22.120  0.93
22.267 21.000  0.98
24.334 22.619  1.00
21.146 20.186  0.98
18.980 18.316  1.00
19.550 18.848  0.98
20.811 19.923  1.00
26.234 24.175  0.97
26.507 24.218  0.01
24.344 22.597  0.96
26.687 24.488  0.87
24.551 22.715  0.98
25.194 23.324  0.82
23.298 21.768  1.00
22.525 21.199  1.00
19.645 18.949  0.98
23.555 21.975  1.00
25.662 24.381  0.02
25.377 23.488  1.00
21.429 20.394  0.98
25.573 23.538  0.74
22.734 21.221  0.96
23.351 21.811  0.98
19.536 18.824  0.99
25.758 24.433  0.03
26.373 25.061  0.00
24.973 22.952  0.99
25.016 23.136  0.03
26.030 24.003  0.84
23.485 21.912  1.00
19.466 18.764  0.99
25.080 23.247  0.98
26.017 24.009  1.00
19.300 18.642  1.00
24.510 22.726  0.99
23.380 21.828  0.98
25.035 23.125  0.63
26.963 25.394  0.00
23.027 21.546  1.00
21.274 20.319  0.99
21.177 20.203  1.00
24.298 22.517  0.95
23.011 21.295  0.99
23.839 22.201  0.99
25.753 23.848  0.89
24.893 23.051  0.94
24.746 23.006  0.96
27.186 25.977  0.00
23.966 22.291  1.00
21.136 20.189  0.98
24.420 22.620  0.25
23.675 21.902  0.50
24.211 22.557  1.00
23.881 22.218  0.98
24.987 23.183  0.97
20.275 19.368  1.00
22.482 21.156  0.92
19.284 18.673  0.99
23.827 22.203  0.97
23.846 22.223  0.99
27.425 26.531  0.00
20.149 19.345  0.99
22.954 21.435  0.22
23.582 21.954  0.97
22.471 21.145  0.98
24.136 22.456  1.00
25.541 23.502  0.65
26.424 25.883  0.00
24.577 22.727  1.00
26.232 24.091  0.03
23.806 22.192  0.09
24.509 22.740  0.96
26.653 24.756  0.01
26.968 26.645  0.02
23.865 22.221  0.97
21.884 20.746  0.99
27.258 26.739  0.61
22.847 21.401  0.58
19.784 19.074  1.00
24.639 22.842  0.99
23.044 21.578  1.00
21.217 20.232  0.98
20.879 19.975  0.98
21.875 20.746  1.00
27.350 25.772  0.00
19.114 18.449  1.00
26.614 24.405  0.90
22.928 21.521  1.00
27.029 24.527  0.79
19.669 18.914  0.98
23.240 21.715  1.00
25.105 23.297  0.93
25.162 23.235  0.97
23.769 22.143  0.98
22.781 21.366  0.99
23.216 21.708  0.98
25.954 23.878  0.88
22.283 21.044  1.00
19.609 18.949  1.00
24.530 22.753  0.86
22.568 21.234  0.98
25.468 23.460  0.99
24.914 23.083  1.00
21.599 20.483  0.98
22.737 21.328  1.00
24.133 22.410  0.98
25.122 23.249  1.00
21.612 20.533  0.99
21.118 20.092  0.98
27.480 26.991  0.65
24.997 23.127  0.97
26.920 25.691  0.00
26.144 24.184  0.95
22.456 21.137  1.00
27.225 26.196  0.43
23.941 22.366  0.47
23.674 22.095  0.98
24.991 23.172  1.00
26.722 26.525  0.00
19.820 19.071  0.98
20.512 19.674  1.00
25.308 23.437  0.53
24.053 22.445  0.98
24.541 22.794  0.98
20.355 19.538  0.99
24.486 22.744  0.98
23.947 22.274  0.99
24.360 22.609  0.98
26.198 24.476  0.91
25.758 23.793  0.01
26.221 24.039  0.00
22.168 20.925  1.00
24.734 22.953  0.99
25.335 23.374  0.96
24.127 22.435  0.99
19.552 18.818  0.98
25.143 23.312  0.89
24.799 23.017  0.97
25.237 23.295  1.00
25.803 23.819  1.00
23.779 22.124  0.96
18.795 18.165  0.99
23.634 21.915  0.82
25.405 23.501  0.84
24.791 23.040  0.97
25.416 23.542  0.98
25.256 25.507  0.91
22.120 20.884  0.98
26.814 26.640  0.00
24.970 23.078  0.51
24.284 22.554  1.00
26.252 24.069  1.00
21.432 20.411  0.98
25.768 23.785  0.23
21.933 20.755  0.98
21.912 20.604  0.99
24.654 22.792  0.97
24.706 22.942  0.96
23.692 22.088  1.00
24.430 22.668  0.98
26.680 26.367  0.68
23.995 22.336  0.98
23.938 22.296  0.98
24.629 22.661  0.95
23.719 22.082  0.98
23.739 22.126  1.00
20.754 19.884  0.99
24.119 22.402  0.98
25.807 26.476  0.02
24.424 22.736  1.00
26.602 24.421  0.05
26.207 24.070  0.77
20.248 19.398  1.00
22.535 21.196  1.00
19.151 18.490  1.00
25.951 24.005  0.99
24.202 22.476  1.00
22.536 21.209  0.98
20.388 19.580  0.98
25.248 23.435  0.97
20.167 19.396  1.00
22.109 20.914  1.00
23.632 22.048  1.00
26.994 24.862  0.61
20.513 19.689  0.98
24.934 23.021  0.95
24.346 22.596  0.96
22.111 20.865  0.98
22.889 21.472  0.96
23.253 21.757  0.47
23.613 22.027  1.00
22.514 21.190  0.98
22.301 21.036  0.98
27.590 26.337  0.72
24.412 22.649  0.98
23.562 21.908  0.98
26.200 24.021  1.00
20.745 19.862  1.00
27.221 25.489  0.20
25.129 23.355  1.00
20.257 19.465  0.98
26.577 24.344  0.79
25.000 23.139  0.98
23.810 22.194  0.81
24.767 22.961  0.95
22.910 21.501  1.00
24.157 22.441  1.00
19.580 18.888  0.98
25.565 23.663  1.00
27.314 26.053  0.00
20.547 19.676  0.98
23.679 22.212  0.99
23.581 21.987  0.97
24.028 22.466  0.98
23.654 22.081  1.00
25.236 23.411  0.97
18.276 17.629  0.98
25.464 23.435  0.99
23.326 21.786  0.98
22.617 21.238  1.00
22.032 20.810  1.00
23.232 21.711  0.98
26.528 24.462  0.78
24.101 22.242  0.92
24.187 22.457  0.97
20.779 19.886  0.99
21.287 20.297  0.98
21.528 20.465  0.99
24.557 22.751  1.00
20.741 19.855  0.99
24.396 22.693  0.98
25.727 23.792  0.56
22.570 21.218  0.98
25.392 23.457  1.00
25.523 23.506  0.04
25.073 23.224  0.40
20.564 19.716  1.00
21.770 20.644  1.00
21.106 20.136  0.98
26.664 24.471  0.40
23.227 21.683  0.98
25.963 23.898  0.83
22.806 21.451  0.99
25.202 23.236  1.00
24.983 23.154  1.00
21.713 20.617  0.98
23.022 21.306  0.99
24.223 22.519  1.00
19.756 19.017  0.98
26.187 23.894  0.11
27.195 26.655  0.00
21.474 20.389  0.98
23.028 21.563  0.98
23.453 21.893  0.51
24.814 22.989  0.93
23.681 22.057  0.98
21.929 20.781  0.98
24.319 22.605  0.89
24.406 22.464  0.03
22.594 21.223  0.98
26.046 24.140  0.99
21.519 20.459  0.98
25.717 24.061  0.04
24.634 22.898  1.00
25.030 23.145  1.00
21.818 20.680  0.99
23.448 21.847  0.98
27.026 26.225  0.00
25.169 26.524  0.03
22.783 21.381  1.00
26.030 26.592  0.01
22.085 20.886  0.98
22.433 21.107  0.98
23.795 22.193  0.99
25.872 23.855  0.99
23.049 21.555  1.00
21.993 20.866  0.98
20.345 19.544  0.99
20.364 19.573  0.99
25.647 23.713  1.00
26.335 24.239  0.94
